id,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC_ratio,logFC_max_min,logFC_z_score
158381,0.149162295,-2.187278221,0.642768262,0.5207150660000001,0.671159285,-6.805483236000001,0.018004739554539448,0.018004739554539267,-0.6238011545497454
574508,0.059381308,-4.564939072,0.6427310589999999,0.520739186,0.671159285,-6.80550699,0.007167662477624723,0.007167662477624538,-0.7429996923998335
100616440,0.015082818000000001,-4.607293748,0.642448087,0.520922672,0.671362111,-6.805687617,0.001820582137319083,0.0018205821373188976,-0.8018129825340438
144125,0.020620455,-4.601999102,0.642352597,0.520984598,0.6714082570000001,-6.805748553,0.002489006499739768,0.002489006499739583,-0.7944608887823394
57110,-0.308629732,-1.7970079780000001,-0.642188939,0.52109074,0.671511379,-6.805852968,0.037253368510100415,0.037253368510100235,-0.4120827722924746
25832,-0.123179463,2.395941473,-0.641842256,0.5213156210000001,0.671767497,-6.806074067000001,0.014868463573740458,0.014868463573740276,-0.6582974960034708
101927735,0.02199974,-4.600680339,0.641731908,0.52138721,0.671826068,-6.8061444170000005,0.0026554940641506197,0.0026554940641504345,-0.7926296686011828
7182,0.13236557300000001,5.085193505,0.641635426,0.521449808,0.6718730479999999,-6.806205917000001,0.015977279431456718,0.015977279431456534,-0.6461014741382837
22801,-0.29174417,3.664783325,-0.641459286,0.5215640979999999,0.671986625,-6.806318169,0.035215184892437336,0.035215184892437155,-0.4345010411089781
100313822,0.012845011000000002,-4.60943336,0.641303361,0.5216652820000001,0.672083304,-6.8064175129999995,0.0015504660720740073,0.0015504660720738216,-0.8047840271984412
84328,0.07714048,4.41137689,0.640974145,0.521878954,0.6723248890000001,-6.806627186,0.009311295803756298,0.009311295803756114,-0.7194215673806886
7364,0.48320672,-0.585295573,0.640915393,0.52191709,0.672334325,-6.806664593,0.05832580642851645,0.05832580642851628,-0.1803040582550315
340508,0.08542921199999999,-4.263011631,0.640882272,0.52193859,0.672334325,-6.806685679,0.010311793019875002,0.010311793019874818,-0.7084169575178985
6060,0.031358584,-4.591732161,0.640729429,0.522037811,0.672428439,-6.806782972000001,0.0037851599006246714,0.003785159900624486,-0.7802043148816132
285659,0.023240059,-4.5994944460000005,0.6404666720000001,0.522208407,0.672614477,-6.806950177999999,0.00280520763995439,0.0028052076399542047,-0.7909829478843824
285180,0.27304339,-0.6914951029999999,0.6403845420000001,0.522261737,0.672638483,-6.8070024270000005,0.03295789411150144,0.03295789411150126,-0.4593293004892874
140690,0.22795283800000002,-3.846871548,0.640337637,0.5222921939999999,0.672638483,-6.807032264,0.027515207371327476,0.027515207371327295,-0.5191941788877992
649133,0.102755629,-4.362578252,0.64025204,0.52234778,0.672638483,-6.807086708,0.012403190349866103,0.012403190349865919,-0.6854133835810144
105377192,0.013494424,-4.608812443,0.640213948,0.522372517,0.672638483,-6.807110934,0.00162885392423418,0.0016288539242339944,-0.8039218281666926
1583,0.38988984200000004,0.011843585,0.640149814,0.522414167,0.672638483,-6.807151719,0.047061927145667315,0.04706192714566714,-0.3041970537100164
102467079,0.045626517000000005,-4.578090304,0.64013063,0.522426626,0.672638483,-6.807163918,0.00550738077183491,0.0055073807718347256,-0.7612613648364882
724022,0.027818024,-4.595117362,0.640120326,0.5224333179999999,0.672638483,-6.80717047,0.0033577941197668465,0.0033577941197666613,-0.7849049713265075
131149,0.047818844000000006,-4.543604635,0.640089748,0.522453178,0.672638483,-6.807189913999999,0.0057720071417455155,0.005772007141745331,-0.758350702104642
387841,0.143168466,1.341631056,0.64006764,0.5224675360000001,0.672638483,-6.807203971,0.01728125021643664,0.01728125021643646,-0.6317589157283282
3912,-0.132843565,7.685172907999999,-0.639970206,0.522530819,0.672638483,-6.807265916,0.016034975791446037,0.016034975791445857,-0.6454668637446149
22932,0.125293139,2.957254549,0.639961721,0.52253633,0.672638483,-6.80727131,0.015123596319470071,0.015123596319469891,-0.6554912549817629
3042,-0.073004903,-4.412340486000001,-0.6399544429999999,0.522541057,0.672638483,-6.807275937000001,0.008812108078113275,0.008812108078113091,-0.7249122035168948
285326,0.016554981,-4.605886183,0.639845989,0.5226115029999999,0.672667625,-6.807344877,0.0019982806059356288,0.001998280605935443,-0.7998584520377707
10512,-0.207390365,6.599433319,-0.639839014,0.522616034,0.672667625,-6.80734931,0.025033199629610644,0.025033199629610463,-0.5464941317851973
3178,0.074539665,9.335294879,0.639779792,0.522654504,0.672683458,-6.80738695,0.00899736260297966,0.008997362602979475,-0.722874562893186
496,-0.12068723199999999,-4.080603039,-0.639525049,0.522819997,0.672862766,-6.807548817000001,0.014567637080927716,0.014567637080927533,-0.6616063289881724
79137,-0.068901987,6.589912178,-0.639194366,0.523034865,0.6730867909999999,-6.807758841,0.00831686272140867,0.008316862721408485,-0.7303594769816177
100874122,0.01233849,-4.609917655,0.639176559,0.523046437,0.6730867909999999,-6.807770147,0.001489326099107616,0.0014893260991074304,-0.8054565143764935
116449,-0.208639981,-1.747434018,-0.639000492,0.52316086,0.673200336,-6.807881924,0.025184035406327444,0.025184035406327264,-0.5448350678224223
123688,-0.11822428199999999,1.983568274,-0.638814534,0.523281725,0.673300476,-6.807999946,0.014270344971780072,0.01427034497177989,-0.6648762867889022
101929341,0.018706327,-4.603829238,0.63880016,0.5232910679999999,0.673300476,-6.808009068,0.002257960335465804,0.0022579603354656187,-0.797002198100513
100616243,0.01840512,-4.604117228,0.6384995720000001,0.52348647,0.67343785,-6.808199766,0.0022216029330337475,0.002221602933033562,-0.7974020982930804
368,-0.18672208399999998,-0.17014893600000003,-0.6384829360000001,0.523497286,0.67343785,-6.8082103179999995,0.02253842025895912,0.022538420258958945,-0.5739345616289321
138241,0.089532786,3.314605564,0.638481282,0.523498361,0.67343785,-6.808211367,0.010807117800931635,0.010807117800931451,-0.7029688104535357
100873919,0.044371155,-4.546523561,0.638474715,0.523502631,0.67343785,-6.808215532,0.00535585142015347,0.0053558514201532854,-0.7629280575280328
3451,0.016986708,-4.6054734,0.6384094779999999,0.523545045,0.673458708,-6.808256906,0.0020503925166142803,0.0020503925166140947,-0.7992852657889894
339761,-0.36981074,1.126572221,-0.638324389,0.523600368,0.67349617,-6.808310864,0.04463826503991176,0.04463826503991158,-0.3308552547358392
391002,0.032631967000000005,-4.590514654,0.638243742,0.523652806,0.6735299159999999,-6.808361998,0.00393886448976483,0.003938864489764645,-0.7785136964467417
102465434,0.011050859,-4.611148785,0.63820185,0.5236800460000001,0.6735312520000001,-6.808388558,0.0013339016951230084,0.0013339016951228228,-0.8071660492971826
106144585,0.012523568,-4.609740698,0.638043354,0.523783114,0.673630107,-6.808489027999999,0.0015116660690529366,0.001511666069052751,-0.8052107938990808
107986400,0.188531242,-3.880767229,0.637996448,0.5238136179999999,0.673635634,-6.808518757000001,0.02275679594567681,0.022756795945676634,-0.5715326166788305
55137,-0.272678678,1.719986599,-0.637922702,0.523861579,0.6736446979999999,-6.8085654920000005,0.032913871293453384,0.032913871293453204,-0.45981351366836926
