Entrez.Gene,adj.P.Val,P.Value,logFC,ID,logFC_max_min
115416,0.633533,0.341,-0.17692750000000002,8131860,0.026947928906189005
115399,0.8383309999999999,0.6409999999999999,-0.13282,7937391,0.020228181196665834
115362,0.653687,0.366,0.5233625,7917576,0.07972706619006721
115361,0.9096690000000001,0.778,0.1288475,7917561,0.019622973515974782
115353,0.608556,0.311,0.22576500000000002,7901577,0.03438828890763632
115352,0.7306189999999999,0.465,-0.15695499999999998,7921275,0.023905132077340133
115350,0.8826350000000001,0.722,-0.0878,7921319,0.013369414731036795
115330,0.9967520000000001,0.991,-0.00252,8131067,0.00037706457135566144
115294,0.7136279999999999,0.442,0.3934275,8150714,0.059931557067199374
115290,0.333228,0.0848,0.30859749999999997,8036676,0.04700776410231018
115286,0.622816,0.327,0.26431,8080896,0.04026059351487024
115273,0.97265,0.924,0.0388525,7899499,0.00591229630419589
115265,0.342097,0.0898,-0.5679825,8101952,0.0865248929269923
115209,0.20333299999999999,0.033,0.8953875,7916570,0.1364048226177803
115207,0.23913299999999998,0.0454,-0.6410899999999999,7972055,0.0976627709675515
115201,0.36384299999999997,0.102,-0.714475,8169272,0.10884292594489905
115196,0.766942,0.52,-0.08528999999999999,8024511,0.012987017933419536
115123,0.613175,0.316,0.41962,8113790,0.0639219666773946
115111,0.171653,0.0235,0.4937125,8147273,0.07520990879988726
115106,0.318363,0.0777,0.4527725,8021101,0.06897272756703847
115098,0.9543520000000001,0.877,0.025655,8026895,0.0039016661302700966
115024,0.9393889999999999,0.8420000000000001,0.0253475,8015445,0.003854818713828938
115019,0.9021950000000001,0.763,-0.044410000000000005,7923850,0.006758977659876331
115004,0.027926,0.000729,1.2582799999999998,8127534,0.19169124886452144
114991,0.349236,0.0942,0.3541925,8157362,0.05395413142795115
114990,0.010288,0.000101,-1.5826825,7992967,0.24111374971672547
114987,0.740853,0.48200000000000004,0.1121725,8163491,0.017082548575629058
114984,0.7057770000000001,0.431,0.255355,7992737,0.03889630533851067
114971,0.71091,0.43799999999999994,-0.140675,7939818,0.021424885119089562
114932,0.9966790000000001,0.99,-0.001945,8099235,0.00028946371134374005
114926,0.9626870000000001,0.898,0.0315975,8146225,0.004807001974828083
114915,0.057370000000000004,0.00294,1.1787725,8107321,0.17957833516469912
114908,0.153513,0.0187,0.433225,7951207,0.06599467919993754
114907,0.33273,0.0845,-0.6785325,8152703,0.10336711044754518
114905,0.897978,0.7559999999999999,0.0666475,8094184,0.010146845702511287
114904,0.122299,0.012,0.507085,8075897,0.07724720010512104
114900,0.655833,0.369,-0.18285,7947928,0.027850217764311794
114898,0.9533219999999999,0.875,-0.0367525,8115594,0.005592362728500178
114897,0.9988100000000001,0.996,-0.0030074999999999998,8010287,0.0004513348657135947
114885,0.04955,0.00223,0.683535,8090277,0.1041292379296489
114884,0.798765,0.574,0.8391375,8085984,0.12783517326878802
114883,0.689287,0.41,0.45653,7901385,0.06954518014355114
114882,0.618257,0.322,-0.1678925,7965064,0.02557145278408864
114881,0.40267800000000004,0.127,0.2188225,8016336,0.03333060374131847
114880,0.6017560000000001,0.304,-0.5154925,8046646,0.0785280770278171
114879,0.664758,0.381,-0.370295,7945831,0.05640733638158934
114876,0.861418,0.682,-0.24306999999999998,8022572,0.03702469392069075
114836,0.8129930000000001,0.597,0.123025,7921625,0.018735919590027975
114827,0.8767159999999999,0.7120000000000001,-0.0648775,7898124,0.00987718740299633
114826,0.736733,0.475,0.09777000000000001,8011200,0.014888337468982632
